name,institution,year,field,undergrad,doctorate
"Lior Pachter","California Institute of Technology","2017","Comp. Bio & Bioinformatics","California Institute of Technology","Massachusetts Institute of Technology"
"Jonathan Aldrich","Carnegie Mellon University","2003","Software Engineering","California Institute of Technology","University of Washington"
"Stephen A. Edwards","Columbia University","2001","Programming Languages","California Institute of Technology","University of California, Berkeley"
"Kexin Rong","Georgia Institute of Technology","2022","Databases","California Institute of Technology","Stanford University"
"Sham Kakade","Harvard University","2021","Machine Learning & Data Mining","California Institute of Technology","University College London"
"Dirk Englund","Massachusetts Institute of Technology","2013","Algorithms & Complexity","California Institute of Technology","Stanford University"
"Peter Szolovits","Massachusetts Institute of Technology","1975","Artificial Intelligence","California Institute of Technology","California Institute of Technology"
"Virginia Vassilevska Williams","Massachusetts Institute of Technology","2017","Algorithms & Complexity","California Institute of Technology","Carnegie Mellon University"
"Rumi Chunara","New York University","2015","Machine Learning & Data Mining","California Institute of Technology","Massachusetts Institute of Technology"
"Paul Hand","Northeastern University","2018","Algorithms & Complexity","California Institute of Technology","New York University"
"Benjamin Golub","Northwestern University","2021","Economics & Computation","California Institute of Technology","Stanford University"
"Robert E. Tarjan","Princeton University","1985","Algorithms & Complexity","California Institute of Technology","Stanford University"
"Alex Gittens","Rensselaer Polytechnic Institute","2017","Algorithms & Complexity","California Institute of Technology","California Institute of Technology"
"Sean Choi","Santa Clara University","2021","Computer Networks","California Institute of Technology","Stanford University"
"Leonidas J. Guibas","Stanford University","1984","Algorithms & Complexity","California Institute of Technology","Stanford University"
"D. M. H. Walker","Texas A&M University","2006","Software Engineering","California Institute of Technology","Carnegie Mellon University"
"Russ Greiner","University of Alberta","1997","Artificial Intelligence","California Institute of Technology","Stanford University"
"Kate Isaacs","University of Arizona","2016","Visualization","California Institute of Technology","University of California, Davis"
"Mark R. Greenstreet","University of British Columbia","1992","High-Performance Computing","California Institute of Technology","Princeton University"
"James Demmel","University of California, Berkeley","1990","High-Performance Computing","California Institute of Technology","University of California, Berkeley"
"Joseph E. Gonzalez","University of California, Berkeley","2016","Artificial Intelligence","California Institute of Technology","Carnegie Mellon University"
"Alexander T. Ihler","University of California, Irvine","2007","Artificial Intelligence","California Institute of Technology","Massachusetts Institute of Technology"
"Charless C. Fowlkes","University of California, Irvine","2007","Computer Vision","California Institute of Technology","University of California, Berkeley"
"Marios C. Papaefthymiou","University of California, Irvine","1996","Computer Architecture","California Institute of Technology","Massachusetts Institute of Technology"
"Mihir Bellare","University of California, San Diego","1995","Computer Security","California Institute of Technology","Massachusetts Institute of Technology"
"Ravi Ramamoorthi","University of California, San Diego","2009","Computer Graphics","California Institute of Technology","Stanford University"
"Michael Maire","University of Chicago","2019","Computer Vision","California Institute of Technology","University of California, Berkeley"
"Jingyi Yu","University of Delaware","2011","Computer Vision","California Institute of Technology","Massachusetts Institute of Technology"
"Andrew M. Childs","University of Maryland","2014","Algorithms & Complexity","California Institute of Technology","Massachusetts Institute of Technology"
"Jordan L. Boyd-Graber","University of Maryland","2010","Artificial Intelligence","California Institute of Technology","Princeton University"
"Jeong Joon Park","University of Michigan","2023","Computer Vision","California Institute of Technology","University of Washington"
"Justin Johnson","University of Michigan","2019","Computer Vision","California Institute of Technology","Stanford University"
"Ron Alterovitz","University of North Carolina at Chapel Hill","2009","Robotics","California Institute of Technology","University of California, Berkeley"
"Alex Huth","University of Texas at Austin","2017","Comp. Bio & Bioinformatics","California Institute of Technology","University of California, Berkeley"
"Christopher L. Barrett","University of Virginia","2004","Comp. Bio & Bioinformatics","California Institute of Technology","California Institute of Technology"
"Cecilia R. Aragon","University of Washington","2010","Visualization","California Institute of Technology","University of California, Berkeley"
"Jonathan F. Buss","University of Waterloo","","High-Performance Computing","California Institute of Technology","Massachusetts Institute of Technology"
"Stephen H. Edwards","Virginia Tech","1998","Software Engineering","California Institute of Technology","Ohio State University"
"Rajit Manohar","Yale University","2017","Computer Architecture","California Institute of Technology","California Institute of Technology"
