name,institution,year,field,undergrad,doctorate
"Ben Zhou","Arizona State University","2024","Natural Language Processing","University of Illinois at Urbana-Champaign","University of Pennsylvania"
"Bryan Plummer","Boston University","2020","Computer Vision","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Jeff Huang","Brown University","2013","Human-Computer Interaction","University of Illinois at Urbana-Champaign","University of Washington"
"Yisong Yue","California Institute of Technology","2014","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","Cornell University"
"Benjamin Moseley","Carnegie Mellon University","2018","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Daniel Dominic Kaplan Sleator","Carnegie Mellon University","1999","Algorithms & Complexity","University of Illinois at Urbana-Champaign","Stanford University"
"Graham Neubig","Carnegie Mellon University","2016","Natural Language Processing","University of Illinois at Urbana-Champaign","Kyoto University"
"Keenan Crane","Carnegie Mellon University","2015","Computer Graphics","University of Illinois at Urbana-Champaign","California Institute of Technology"
"Brygg Ullmer","Clemson University","2017","Human-Computer Interaction","University of Illinois at Urbana-Champaign","Massachusetts Institute of Technology"
"Iris Bahar","Colorado School of Mines","2022","Computer Architecture","University of Illinois at Urbana-Champaign","University of Colorado Boulder"
"Aleksander Holynski","Columbia University","2025","Computer Vision","University of Illinois at Urbana-Champaign","University of Washington"
"Wojciech Jarosz","Dartmouth College","2015","Computer Graphics","University of Illinois at Urbana-Champaign","University of California, San Diego"
"Danyang Zhuo","Duke University","2021","Computer Networks","University of Illinois at Urbana-Champaign","University of Washington"
"Lisa Wu","Duke University","2019","Computer Architecture","University of Illinois at Urbana-Champaign","Columbia University"
"Thomas D. LaToza","George Mason University","2015","Software Engineering","University of Illinois at Urbana-Champaign","Carnegie Mellon University"
"Michael Bailey","Georgia Institute of Technology","2022","Computer Security","University of Illinois at Urbana-Champaign","University of Michigan"
"Mark Roman Miller","Illinois Institute of Technology","2023","Human-Computer Interaction","University of Illinois at Urbana-Champaign","Stanford University"
"Apu Kapadia","Indiana University Bloomington","1995","The Web & Information Retrieval","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
