name,institution,year,field,undergrad,doctorate
"Joel A. Tropp","California Institute of Technology","2007","Algorithms & Complexity","University of Texas at Austin","University of Texas at Austin"
"Chris Donahue","Carnegie Mellon University","2023","Machine Learning & Data Mining","University of Texas at Austin","University of California, San Diego"
"Farnam Jahanian","Carnegie Mellon University","2007","Computer Networks","University of Texas at Austin","University of Texas at Austin"
"Yonatan Bisk","Carnegie Mellon University","2020","Natural Language Processing","University of Texas at Austin","University of Illinois at Urbana-Champaign"
"Melody Moore Jackson","Georgia Institute of Technology","2006","Human-Computer Interaction","University of Texas at Austin","Georgia Institute of Technology"
"Mustafa Bilgic","Illinois Institute of Technology","2010","Artificial Intelligence","University of Texas at Austin","University of Maryland"
"Daniel P. Friedman","Indiana University Bloomington","1973","Programming Languages","University of Texas at Austin","University of Texas at Austin"
"James C. Lester","North Carolina State University","1994","Artificial Intelligence","University of Texas at Austin","University of Texas at Austin"
"Kyle C. Hale","Oregon State University","2024","High-Performance Computing","University of Texas at Austin","Northwestern University"
"Wade Trappe","Rutgers University","2002","Computer Security","University of Texas at Austin","University of Maryland"
"David A. Naumann","Stevens Institute of Technology","1997","Computer Security","University of Texas at Austin","University of Texas at Austin"
"Chiu C. Tan","Temple University","2012","Computer Security","University of Texas at Austin","College of William & Mary"
"Daniel A. Jiménez","Texas A&M University","2013","Computer Architecture","University of Texas at Austin","University of Texas at Austin"
"George Porter","University of California, San Diego","2014","Computer Networks","University of Texas at Austin","University of California, Berkeley"
"Eric Rozner","University of Colorado Boulder","2018","Computer Networks","University of Texas at Austin","University of Wisconsin–Madison"
"Albert M. K. Cheng","University of Houston","1996","Embedded & Real-Time Systems","University of Texas at Austin","University of Texas at Austin"
"Shishir K. Shah","University of Houston","2005","Computer Vision","University of Texas at Austin","University of Texas at Austin"
"Cynthia Matuszek","University of Maryland, Baltimore County","2014","Robotics","University of Texas at Austin","University of Washington"
"Don Towsley","University of Massachusetts Amherst","1976","Measurement & Perf. Analysis","University of Texas at Austin","University of Texas at Austin"
"Vincent Liu","University of Pennsylvania","2017","Computer Networks","University of Texas at Austin","University of Washington"
"Bill Carroll","University of Texas at Arlington","1981","Computer Architecture","University of Texas at Austin","University of Texas at Austin"
"Andrea Lockerd Thomaz","University of Texas at Austin","2016","Robotics","University of Texas at Austin","Massachusetts Institute of Technology"
"Gordon S. Novak","University of Texas at Austin","1976","Artificial Intelligence","University of Texas at Austin","University of Texas at Austin"
"Worthy Martin","University of Virginia","1982","Computer Vision","University of Texas at Austin","University of Texas at Austin"
"Brian Curless","University of Washington","2010","Computer Graphics","University of Texas at Austin","Stanford University"
"Franziska Roesner","University of Washington","2014","Computer Security","University of Texas at Austin","University of Washington"
"Gilbert Bernstein","University of Washington","2023","Computer Graphics","University of Texas at Austin","Stanford University"
"Weng Poo Kang","Vanderbilt University","","Computer Architecture","University of Texas at Austin","Rutgers University"
"Abraham Silberschatz","Yale University","2003","Operating Systems","University of Texas at Austin","State University of New York"
